feature,importance,std
whitepaper_risk_score,0.2309523809523809,0.006077261437190578
trading_volume_usd,0.10869047619047616,0.014183496738921941
property_condition_score,0.09067460317460323,0.011407194513626318
liquidity_ratio,0.022380952380952352,0.009464597678795759
market_momentum,0.017103174603174565,0.004739364643439257
rental_yield_pct,0.01650793650793651,0.008565547659194874
volatility_index,0.010357142857142879,0.004127365672228494
annual_rent_usd,0.008611111111111088,0.000729554615509927
token_holder_concentration,0.0019444444444444524,0.0013826389992209892
token_holders,0.0007539682539682291,0.001580341885058679
transaction_graph_density,0.00023809523809522246,0.0005411976863882541
document_type,0.00015873015873013596,5.6119585808487354e-05
listing_source,3.968253968252474e-05,5.6119585808435014e-05
blockchain_network,0.0,0.0
property_value_usd,0.0,9.720197391993078e-05
disclosure_sentiment,0.0,0.0
monthly_transactions,-0.0003571428571428707,5.233641840895252e-17
image_count,-0.0003968253968253584,0.0006249212598422115
dominant_risk_clause,-0.0007539682539682661,0.001075096601916247
average_gas_fee_usd,-0.0007539682539683401,0.0008712102539722422
occupancy_rate,-0.0008333333333333156,0.0002916059217599283
document_length_words,-0.0009920634920634885,0.0010706934573994123
wallet_age_days,-0.0015873015873015817,0.0010750966019161994
